Province,Part,Capital,Latitude,Longitude,Population,Migration Ratio,Net Migration,Emigration,Immigration,From Beijing,From Tianjin,From Hebei,From Shanxi,From Inner Mongolia,From Liaoning,From Jilin,From Heilongjiang,From Shanghai,From Jiangsu,From Zhejiang,From Anhui,From Fujian,From Jiangxi,From Shandong,From Henan,From Hubei,From Hunan,From Guangdong,From Guangxi,From Hainan,From Chongqing,From Sichuan,From Guizhou,From Yunnan,From Tibet,From Shaanxi,From Gansu,From Qinghai,From Ningxia,From Xinjiang,To Beijing,To Tianjin,To Hebei,To Shanxi,To Inner Mongolia,To Liaoning,To Jilin,To Heilongjiang,To Shanghai,To Jiangsu,To Zhejiang,To Anhui,To Fujian,To Jiangxi,To Shandong,To Henan,To Hubei,To Hunan,To Guangdong,To Guangxi,To Hainan,To Chongqing,To Sichuan,To Guizhou,To Yunnan,To Tibet,To Shaanxi,To Gansu,To Qinghai,To Ningxia,To Xinjiang
Beijing,Eastern,Beijing,39.9042,116.407396,19612368,25.68,345,274365,7044533,,83050,1559016,268506,236088,247843,213990,403287,18245,194997,126071,430096,95900,141197,597737,979741,334516,152153,70783,31196,8293,85654,325313,38914,27578,1499,164559,143265,11361,17833,35852,,22731,74697,6850,6662,8928,4132,7961,22843,14117,8054,4372,3936,3194,13104,6863,6544,4796,18918,2815,2742,3844,8886,1277,2243,229,6526,3035,781,1022,2263
Tianjin,Eastern,Tianjin,39.343357,117.361648,12938693,10.95,210,273134,2991501,22731,,754466,101485,85171,81930,101541,194113,5214,72313,43254,138998,29491,33762,505129,331307,108382,34127,19261,8927,2615,27125,108996,17276,11201,1181,63614,64184,7451,6467,9789,83050,,65019,5671,6804,8384,3691,5235,12768,8785,5595,2810,3373,2427,12762,4674,4289,2725,11606,2620,1838,2080,4102,913,2062,81,3962,2524,559,759,1966
Hebei,Eastern,Shijiazhuang,38.042805,114.514893,71854210,0.4,-29,3498253,1404673,74697,65019,,57965,102610,75003,59564,196431,2339,36932,32221,62742,20034,20274,89303,181149,62297,25005,9170,8678,2895,23944,83144,17858,14957,862,44276,20102,5047,3555,6600,1559016,754466,,138172,183926,69162,20428,27082,67497,83969,42158,21318,16751,14568,142422,38663,26003,16206,85828,13875,7297,13090,29229,8514,12295,1337,39377,14488,10611,12137,28368
Shanxi,Central,Taiyuan,37.87059,112.548879,35712101,0.86,-4,1083291,931653,6850,5671,138172,,78775,13464,11308,16195,1189,35076,26610,45524,21604,11886,46963,197438,48174,17815,5888,3990,1659,20767,79274,11754,12713,211,56292,11219,1980,1299,1893,268506,101485,57965,,156745,16797,5745,6862,45048,50963,25344,8816,10351,12391,54008,36250,15543,10012,54709,6042,4758,7517,14826,3658,6122,699,67064,7784,5142,7016,15123
Inner Mongolia,Western,Hohhot,40.842356,111.749995,24706291,1.35,15,1067556,1444181,6662,6804,183926,156745,,73364,63894,142986,851,33276,22885,37106,15357,14863,68290,103645,35317,15542,5098,3216,884,15202,86557,9525,7283,178,141982,141901,4867,43225,2750,236088,85171,102610,78775,,179980,34743,52542,23737,20694,14437,4746,5407,8857,78671,7851,10623,4815,25215,4509,5631,6129,8008,1345,2995,223,35671,5724,2068,14543,5748
Liaoning,Eastern,Shenyang,41.805699,123.431472,43746323,1.76,18,1014028,1786530,8928,8384,69162,16797,179980,,300028,569555,3596,44140,30288,75000,19760,13284,119513,122054,35281,16744,10760,3951,1708,21540,68727,8125,5540,922,15177,8505,2934,1680,4467,247843,81930,75003,13464,73364,,63868,57616,62868,36558,28236,7484,12624,6823,78808,8996,8872,7434,66438,8205,7623,5143,12801,3234,6811,471,12218,5884,2074,3340,7995
Jilin,Eastern,Changchun,43.817071,125.323544,27452815,0.33,-33,1372853,456499,4132,3691,20428,5745,34743,63868,,130578,1589,14266,13593,19642,7098,5034,44538,25648,14764,5888,3663,1739,1645,3616,14570,2194,2404,228,4450,2636,1234,726,2149,213990,101541,59564,11308,63894,300028,,120545,58851,40200,32412,7269,12063,4979,186138,8437,6408,6980,74451,9081,8635,3814,10104,3536,6211,328,8166,3607,1841,2398,6074
Heilongjiang,Eastern,Harbin,45.803775,126.534967,38313991,0.2,-53,2553648,506397,7961,5235,27082,6862,52542,57616,120545,,2508,19040,12339,23337,7560,7041,62131,25240,16974,7388,4738,2328,1720,5092,12873,3268,2628,194,5017,3958,862,752,1566,403287,194113,196431,16195,142986,569555,130578,,98574,69214,55310,9464,20135,5275,408047,14519,9540,7242,108799,12165,18972,5090,12455,3674,8418,426,11542,4079,2151,4525,10887
Shanghai,Eastern,Shanghai,31.23039,121.473702,23019196,35.86,379,250340,8977000,22843,12768,67497,45048,23737,62868,58851,98574,,1503522,450506,2602273,263790,487192,378404,782553,407747,228544,79348,49241,9451,227653,624465,148084,69992,1136,126155,94798,11264,9893,28803,18245,5214,2339,1189,851,3596,1589,2508,,82612,38525,20773,4863,8354,5700,3670,5253,3040,14206,2046,1564,3028,6340,1940,2832,78,2792,1606,382,482,4723
Jiangsu,Eastern,Nanjing,32.060255,118.796877,78660941,2.41,55,3058880,7379253,14117,8785,83969,50963,20694,36558,40200,69214,82612,,268489,2574625,138615,264814,410813,1016424,400715,203041,44584,45570,5845,178765,650575,275505,141091,1837,206894,101709,13807,6988,21435,194997,72313,36932,35076,33276,44140,14266,19040,1503522,,341618,114421,41172,25673,138354,31668,37838,18018,126289,14298,9579,16061,30802,15445,16008,1348,33569,18796,13031,9457,51873
